"","City","X","long","lat"
"427","Avenal",77,-120.017876623377,35.9426601298701
"428","Avenel",29,-74.2846086206897,40.5803189655172
"429","Aventura",7,-80.1500857142857,25.9384542857143
"430","Avera",1,-82.49786,33.14797
"431","Averill Park",70,-73.5438784285714,42.6292841428571
"432","Avila Beach",3,-120.7298,35.1826866666667
"433","Avilla",1,-85.28893,41.39469
"434","Avinger",2,-94.52526,32.90734
"435","Avoca",43,-93.2466337209302,42.0827353488372
"436","Avon",455,-84.0604753384615,41.1933907186813
"437","Avon Lake",1,-81.99732,41.49294
"438","Avon Park",47,-81.5011904255319,27.5889365957447
"439","Avondale",873,-111.931120790378,33.522986792669
"440","Avondale Estates",65,-84.2461806153846,33.7842426153846
"441","Avonmore",15,-79.489258,40.5147093333333
"442","Awendaw",4,-79.68299,32.962075
"443","Axis",18,-88.0297694444444,30.9658816666667
"444","Axson",3,-82.7619466666667,31.2816166666667
"445","Axtell",6,-111.82175,39.057435
"446","Axton",14,-79.71201,36.6710692857143
"447","Ayden",4,-77.4749575,35.47705
"448","Ayer",17,-71.5740547058823,42.5600105882353
"449","Aylett",27,-77.1456774074074,37.7649255555556
"450","Aynor",170,-79.1407864705882,33.9669519411765
"451","Azalea",77,-123.250953246753,42.8359022077922
"452","Azle",6,-97.5462366666667,32.8922416666667
"453","Aztec",2,-107.89845,36.934115
"454","Azusa",1887,-117.903284472708,34.1259246422893
"455","Babcock",1,-90.11049,44.30716
"456","Babson Park",6,-81.5378716666667,27.83826
"457","Babylon",91,-73.404287032967,40.6574892307692
"458","Backus",27,-94.5633840740741,46.8019766666667
"459","Bacliff",3,-94.99282,29.4984833333333
"460","Baconton",9,-84.1219977777778,31.3866677777778
"461","Baden",6,-80.212725,40.6306733333333
"462","Badger",8,-116.11081625,38.19204125
"463","Baggs",2,-107.6472,41.017755
"464","Bagley",15,-94.9323486666667,44.854228
"465","Bahama",2,-78.905485,36.15102
"466","Bailey",53,-103.75825,39.4396239622642
"467","Baileys Harbor",1,-87.12357,45.06559
"468","Baileyton",6,-86.614245,34.2638916666667
"469","Baileyville",2,-89.57596,42.20064
"470","Bainbridge",50,-79.7055852,37.274569
"471","Bainbridge Island",13,-122.539723076923,47.6756692307692
"472","Baird",6,-99.34351,32.3923166666667
"473","Baker",455,-92.2294398681319,30.897010989011
"474","Baker City",350,-117.787276571429,44.7558588285714
"475","Bakers Mills",4,-74.0584275,43.7405875
"476","Bakersfield",4041,-119.03753281366,35.350038101955
"477","Bakerstown",3,-79.9352166666667,40.65393
"478","Bakersville",1,-82.11838,35.96472
"479","Bal Harbour",3,-80.1243666666667,25.8960633333333
"480","Bala Cynwyd",900,-75.2253364555556,40.0138385777778
"481","Balaton",6,-95.8970383333333,44.2394566666667
"482","Balch Springs",483,-96.6225655900621,32.7077970393375
"483","Bald Knob",3,-91.5341333333333,35.3096466666667
"484","Baldwin",110,-79.6438939090909,41.0010759090909
"485","Baldwin City",2,-95.25082,38.782315
"486","Baldwin Park",4854,-117.978914915534,34.0878377770911
"487","Baldwin Place",1,-73.75278,41.34398
"488","Baldwinsville",65,-76.3351050769231,43.1624047692308
"489","Baldwinville",3,-72.07622,42.6018766666667
"490","Ball Ground",39,-84.3598951282051,34.3152853846154
"491","Ballard",6,-109.97285,40.3022116666667
"492","Ballico",23,-120.669508695652,37.4627152173913
"493","Ballinger",1,-100.0002,31.77136
"494","Ballston Lake",165,-73.8092778181818,42.9235910909091
"495","Ballston Spa",440,-73.8104885227273,42.9918225454545
"496","Ballwin",80,-90.523702,38.5957385
"497","Bally",3,-75.5784333333333,40.4035733333333
"498","Balmorhea",9,-103.840744444444,31.0690055555556
"499","Baltic",3,-72.09343,41.6412166666667
"500","Baltimore",3567,-76.6473037398374,39.2983501569947
"501","Bamberg",71,-81.020441971831,33.2653929577465
"502","Bancroft",41,-89.294233902439,43.4615702439024
"503","Bandera",1,-99.07079,29.72439
"504","Bandon",176,-124.391644886364,43.1078836363636
"505","Bandy",3,-81.5383266666667,37.1975366666667
"506","Bangor",79,-73.0472129113924,43.92592
"507","Banks",158,-120.028859746835,44.5358177848101
"508","Bankston",1,-87.70983,33.69184
"509","Banner",2,-89.411075,34.13821
